2022-08-05 07:59:08,252 INFO    MainThread:419292 [wandb_setup.py:_flush():76] Configure stats pid to 419292
2022-08-05 07:59:08,253 INFO    MainThread:419292 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2022-08-05 07:59:08,253 INFO    MainThread:419292 [wandb_setup.py:_flush():76] Loading settings from /workspace/youtube-humpback-whale-classifier/classification/scripts/wandb/settings
2022-08-05 07:59:08,253 INFO    MainThread:419292 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2022-08-05 07:59:08,253 INFO    MainThread:419292 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'classification/scripts/train_v2.py', 'program': 'train_v2.py'}
2022-08-05 07:59:08,253 INFO    MainThread:419292 [wandb_init.py:_log_setup():461] Logging user logs to /workspace/youtube-humpback-whale-classifier/classification/scripts/wandb/run-20220805_075908-iibif699/logs/debug.log
2022-08-05 07:59:08,253 INFO    MainThread:419292 [wandb_init.py:_log_setup():462] Logging internal logs to /workspace/youtube-humpback-whale-classifier/classification/scripts/wandb/run-20220805_075908-iibif699/logs/debug-internal.log
2022-08-05 07:59:08,253 INFO    MainThread:419292 [wandb_init.py:init():495] calling init triggers
2022-08-05 07:59:08,253 INFO    MainThread:419292 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-08-05 07:59:08,253 INFO    MainThread:419292 [wandb_init.py:init():548] starting backend
2022-08-05 07:59:08,253 INFO    MainThread:419292 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-08-05 07:59:08,265 INFO    MainThread:419292 [backend.py:ensure_launched():217] starting backend process...
2022-08-05 07:59:08,278 INFO    MainThread:419292 [backend.py:ensure_launched():222] started backend process with pid: 419436
2022-08-05 07:59:08,279 INFO    MainThread:419292 [wandb_init.py:init():558] backend started and connected
2022-08-05 07:59:08,285 INFO    MainThread:419292 [wandb_init.py:init():634] updated telemetry
2022-08-05 07:59:08,303 INFO    MainThread:419292 [wandb_init.py:init():665] communicating run to backend with 30 second timeout
2022-08-05 07:59:09,660 INFO    MainThread:419292 [wandb_run.py:_on_init():1919] communicating current version
2022-08-05 07:59:09,706 INFO    MainThread:419292 [wandb_run.py:_on_init():1923] got version response upgrade_message: "wandb version 0.13.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-08-05 07:59:09,706 INFO    MainThread:419292 [wandb_init.py:init():700] starting run threads in backend
2022-08-05 07:59:09,832 INFO    MainThread:419292 [wandb_run.py:_console_start():1893] atexit reg
2022-08-05 07:59:09,832 INFO    MainThread:419292 [wandb_run.py:_redirect():1766] redirect: SettingsConsole.REDIRECT
2022-08-05 07:59:09,833 INFO    MainThread:419292 [wandb_run.py:_redirect():1771] Redirecting console.
2022-08-05 07:59:09,835 INFO    MainThread:419292 [wandb_run.py:_redirect():1827] Redirects installed.
2022-08-05 07:59:09,835 INFO    MainThread:419292 [wandb_init.py:init():732] run started, returning control to user process
