video_id,url,title,license,relevant,renamed_title,clip_start,clip_end
67OIlq2oMt0,https://youtu.be/67OIlq2oMt0,Hawaiian Islands Humpback Whale National Marine Sanctuary,creativeCommon,True,video_0000.mp4,0:10,0:25
EUcMuUBMYJc,https://youtu.be/EUcMuUBMYJc,Tagging expedition: revealing the delicate nursing behavior of humpback whale calves,creativeCommon,True,video_0001.mp4,0:44,0:59
dpSuygz7ZmA,https://youtu.be/dpSuygz7ZmA,Your Earth Is Blue: Disentangling a Humpback Whale,creativeCommon,True,video_0002.mp4,0:05,0:20
jfPzlFLEuKk,https://youtu.be/jfPzlFLEuKk,"Humpback Whale || Description, Characteristics and Facts!",creativeCommon,True,video_0003.mp4,2:40,2:55
xGasapMoy4I,https://youtu.be/xGasapMoy4I,Your Earth Is Blue: Humpback Whales,creativeCommon,True,video_0004.mp4,0:00,0:15
pvUi9HEUyD4,https://youtu.be/pvUi9HEUyD4,No Whales For You! - We came up empty on Humpback whale snorkeling,creativeCommon,True,video_0006.mp4,1:05,1:20
-iuAeU0Z0fs,https://youtu.be/-iuAeU0Z0fs,Your Earth Is Blue: Humpback Whales,creativeCommon,True,video_0007.mp4,0:25,0:40
yOy_VtJKhQU,https://youtu.be/yOy_VtJKhQU,humpback whale comes up to breathe air and it&#39;s huge,creativeCommon,True,video_0008.mp4,0:00,0:15
-X0ij0Vawk8,https://youtu.be/-X0ij0Vawk8,Nature and culture in Hawaiian Islands Humpback Whale National Marine Sanctuary,creativeCommon,False,video_0009.mp4,,
eCA930NiG10,https://youtu.be/eCA930NiG10,GTA 5 humpback whale location!,creativeCommon,False,video_0010.mp4,,
VPtPbyYk42A,https://youtu.be/VPtPbyYk42A,Balleny humpback whale research,creativeCommon,True,video_0011.mp4,0:07,0:22
T5EtHtnQ4kw,https://youtu.be/T5EtHtnQ4kw,Stranded humpback whale rescued in Argentina,creativeCommon,True,video_0014.mp4,0:00,0:15
DGze-cecDMA,https://youtu.be/DGze-cecDMA,"Humpback Whale (Baleia Jubarte), Abrolhos, Brazil",creativeCommon,True,video_0017.mp4,0:00,0:15
PdARpduN44g,https://youtu.be/PdARpduN44g,Your Earth Is Blue: Humpback Whale Tagging at Stellwagen Bank,creativeCommon,True,video_0018.mp4,0:10,0:25
BzrFQm3CSLs,https://youtu.be/BzrFQm3CSLs,Swimming with humpback whales in French Polynesia,creativeCommon,True,video_0019.mp4,12:00,12:15
kOMpCDuj_Lw,https://youtu.be/kOMpCDuj_Lw,🐋🐋 Breaching Humpback Whales 🌴Paradise |  MAUI ~ No Ka Oi 🌺,creativeCommon,True,video_0020.mp4,1:30,1:45
olXBq4kVOVo,https://youtu.be/olXBq4kVOVo,"Maui Humpback Whale Encounter February 17, 2020",creativeCommon,True,video_0021.mp4,1:15,1:30
qzS15KNvWds,https://youtu.be/qzS15KNvWds,Humpback whale encounter off of Maui (near Lahaina),creativeCommon,True,video_0023.mp4,1:00,1:15
s_gVyzmyn5Y,https://youtu.be/s_gVyzmyn5Y,humpback whale jumping out of the water | humpback whale,creativeCommon,True,video_0024.mp4,0:00,0:09
IXiWONEUk_g,https://youtu.be/IXiWONEUk_g,Humpback Whale,creativeCommon,True,video_0025.mp4,1:00,1:15
ylzfC4xtrDQ,https://youtu.be/ylzfC4xtrDQ,Swimming with a Curious Humpback Whale Calf - Tonga,creativeCommon,True,video_0026.mp4,0:10,0:25
l5rQPUBMDOU,https://youtu.be/l5rQPUBMDOU,Antarctica 🇦🇶 Melchior Islands waters kayaking encounter humpback whales😀,creativeCommon,True,video_0027.mp4,0:10,0:25
QTQM0gUcWw4,https://youtu.be/QTQM0gUcWw4,8/2 Humpback whale &quot;Ballpark&quot; lobtailing 34 times!,creativeCommon,True,video_0028.mp4,2:40,2:55
kMJNN5r_1RE,https://youtu.be/kMJNN5r_1RE,Human Rendition of a Humpback Whale,creativeCommon,False,video_0029.mp4,,
