video_id,url,title,license,relevant,renamed_title,clip_start,clip_end,duration,wandb_clip
67OIlq2oMt0,https://youtu.be/67OIlq2oMt0,Hawaiian Islands Humpback Whale National Marine Sanctuary,creativeCommon,True,video_0000.mp4,10,25,266.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c220>
EUcMuUBMYJc,https://youtu.be/EUcMuUBMYJc,Tagging expedition: revealing the delicate nursing behavior of humpback whale calves,creativeCommon,True,video_0001.mp4,44,59,269.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dcdae130>
dpSuygz7ZmA,https://youtu.be/dpSuygz7ZmA,Your Earth Is Blue: Disentangling a Humpback Whale,creativeCommon,True,video_0002.mp4,5,20,102.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c0a0>
jfPzlFLEuKk,https://youtu.be/jfPzlFLEuKk,"Humpback Whale || Description, Characteristics and Facts!",creativeCommon,True,video_0003.mp4,160,175,238.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dccdb3a0>
xGasapMoy4I,https://youtu.be/xGasapMoy4I,Your Earth Is Blue: Humpback Whales,creativeCommon,True,video_0004.mp4,0,15,83.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c130>
pvUi9HEUyD4,https://youtu.be/pvUi9HEUyD4,No Whales For You! - We came up empty on Humpback whale snorkeling,creativeCommon,True,video_0006.mp4,65,80,166.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dcdae190>
-iuAeU0Z0fs,https://youtu.be/-iuAeU0Z0fs,Your Earth Is Blue: Humpback Whales,creativeCommon,True,video_0007.mp4,25,40,83.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c790>
yOy_VtJKhQU,https://youtu.be/yOy_VtJKhQU,humpback whale comes up to breathe air and it&#39;s huge,creativeCommon,True,video_0008.mp4,0,15,15.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dcdae0a0>
-X0ij0Vawk8,https://youtu.be/-X0ij0Vawk8,Nature and culture in Hawaiian Islands Humpback Whale National Marine Sanctuary,creativeCommon,False,video_0009.mp4,120,135,230.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51cc10>
eCA930NiG10,https://youtu.be/eCA930NiG10,GTA 5 humpback whale location!,creativeCommon,False,video_0010.mp4,14,29,59.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dcdae070>
VPtPbyYk42A,https://youtu.be/VPtPbyYk42A,Balleny humpback whale research,creativeCommon,True,video_0011.mp4,7,22,100.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c430>
T5EtHtnQ4kw,https://youtu.be/T5EtHtnQ4kw,Stranded humpback whale rescued in Argentina,creativeCommon,True,video_0014.mp4,0,15,61.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c460>
DGze-cecDMA,https://youtu.be/DGze-cecDMA,"Humpback Whale (Baleia Jubarte), Abrolhos, Brazil",creativeCommon,True,video_0017.mp4,0,15,23.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51cbe0>
PdARpduN44g,https://youtu.be/PdARpduN44g,Your Earth Is Blue: Humpback Whale Tagging at Stellwagen Bank,creativeCommon,True,video_0018.mp4,10,25,54.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c6d0>
BzrFQm3CSLs,https://youtu.be/BzrFQm3CSLs,Swimming with humpback whales in French Polynesia,creativeCommon,True,video_0019.mp4,720,735,901.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c250>
kOMpCDuj_Lw,https://youtu.be/kOMpCDuj_Lw,🐋🐋 Breaching Humpback Whales 🌴Paradise |  MAUI ~ No Ka Oi 🌺,creativeCommon,True,video_0020.mp4,90,105,148.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c3d0>
olXBq4kVOVo,https://youtu.be/olXBq4kVOVo,"Maui Humpback Whale Encounter February 17, 2020",creativeCommon,True,video_0021.mp4,75,90,210.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c7f0>
qzS15KNvWds,https://youtu.be/qzS15KNvWds,Humpback whale encounter off of Maui (near Lahaina),creativeCommon,True,video_0023.mp4,60,75,142.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51cca0>
s_gVyzmyn5Y,https://youtu.be/s_gVyzmyn5Y,humpback whale jumping out of the water | humpback whale,creativeCommon,True,video_0024.mp4,0,9,9.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c6a0>
IXiWONEUk_g,https://youtu.be/IXiWONEUk_g,Humpback Whale,creativeCommon,True,video_0025.mp4,60,75,96.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51cc70>
ylzfC4xtrDQ,https://youtu.be/ylzfC4xtrDQ,Swimming with a Curious Humpback Whale Calf - Tonga,creativeCommon,True,video_0026.mp4,10,25,40.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c640>
l5rQPUBMDOU,https://youtu.be/l5rQPUBMDOU,Antarctica 🇦🇶 Melchior Islands waters kayaking encounter humpback whales😀,creativeCommon,True,video_0027.mp4,10,25,34.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51cd00>
QTQM0gUcWw4,https://youtu.be/QTQM0gUcWw4,8/2 Humpback whale &quot;Ballpark&quot; lobtailing 34 times!,creativeCommon,True,video_0028.mp4,160,175,178.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c700>
kMJNN5r_1RE,https://youtu.be/kMJNN5r_1RE,Human Rendition of a Humpback Whale,creativeCommon,False,video_0029.mp4,6,21,28.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51cfd0>
ocMUv0I4Kkg,https://youtu.be/ocMUv0I4Kkg,"Spectacular whale watching. Humpback whales, Alaska. With commentary",creativeCommon,True,video_0030.mp4,210,225,641.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51cd60>
hjkH46aBkPo,https://youtu.be/hjkH46aBkPo,Maui Humpback Whales Breaching,creativeCommon,True,video_0031.mp4,0,15,127.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c1c0>
s57I6x6zRUw,https://youtu.be/s57I6x6zRUw,humpback whale song,creativeCommon,True,video_0032.mp4,0,15,20.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c730>
r3-H4061n0E,https://youtu.be/r3-H4061n0E,Humpback whale stuck in California harbor,creativeCommon,True,video_0033.mp4,42,57,108.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c670>
