,url,privacyStatus,licensedContent,license
8j1HWD8KuMM,https://youtu.be/8j1HWD8KuMM,public,False,youtube
tW_T8Z6ebmg,https://youtu.be/tW_T8Z6ebmg,public,False,youtube
oSGhnD5kmAg,https://youtu.be/oSGhnD5kmAg,public,True,youtube
6eWwFNq4i_c,https://youtu.be/6eWwFNq4i_c,public,False,youtube
RMaMmynj76s,https://youtu.be/RMaMmynj76s,public,False,youtube
WxrJtmYoHzM,https://youtu.be/WxrJtmYoHzM,public,True,youtube
ym6e3SAuyXg,https://youtu.be/ym6e3SAuyXg,public,True,youtube
H5xilsOjd2o,https://youtu.be/H5xilsOjd2o,public,True,youtube
xE3g5UFS7aI,https://youtu.be/xE3g5UFS7aI,public,False,youtube
8eF3T9nm9KU,https://youtu.be/8eF3T9nm9KU,public,False,youtube
eTlajj5qDoY,https://youtu.be/eTlajj5qDoY,public,True,youtube
Hxj-iHHAa24,https://youtu.be/Hxj-iHHAa24,public,False,youtube
H3qAaxdjATE,https://youtu.be/H3qAaxdjATE,public,True,youtube
4qx_In8Ny2s,https://youtu.be/4qx_In8Ny2s,public,False,youtube
Dz817OfdCWY,https://youtu.be/Dz817OfdCWY,public,True,youtube
bAQ3L_A3TxM,https://youtu.be/bAQ3L_A3TxM,public,False,creativeCommon
yCqxJfuthls,https://youtu.be/yCqxJfuthls,public,True,youtube
PYtbutOrVXk,https://youtu.be/PYtbutOrVXk,public,True,youtube
USlfNF-jgcU,https://youtu.be/USlfNF-jgcU,public,False,youtube
MW0BM9hIGFU,https://youtu.be/MW0BM9hIGFU,public,False,youtube
0EuMbD4zecQ,https://youtu.be/0EuMbD4zecQ,public,False,youtube
z532StqPiB4,https://youtu.be/z532StqPiB4,public,False,youtube
CFOCC5XpTT0,https://youtu.be/CFOCC5XpTT0,public,False,youtube
tIwcaihmF5o,https://youtu.be/tIwcaihmF5o,public,False,youtube
NIi_ewCqOqI,https://youtu.be/NIi_ewCqOqI,public,False,youtube
pKuR-KEOYm4,https://youtu.be/pKuR-KEOYm4,public,True,youtube
euYTbsjTJyo,https://youtu.be/euYTbsjTJyo,public,False,youtube
NavthP7hxsw,https://youtu.be/NavthP7hxsw,public,False,youtube
jL_jhgN7BBE,https://youtu.be/jL_jhgN7BBE,public,False,youtube
g5cKpXH_owc,https://youtu.be/g5cKpXH_owc,public,False,youtube
xsV7dykAvRQ,https://youtu.be/xsV7dykAvRQ,public,False,youtube
pGQLxZl3cVQ,https://youtu.be/pGQLxZl3cVQ,public,True,youtube
kkNdxJvrvUg,https://youtu.be/kkNdxJvrvUg,public,True,youtube
HmgagtS6u3k,https://youtu.be/HmgagtS6u3k,public,False,youtube
Q5N4i_rmNlg,https://youtu.be/Q5N4i_rmNlg,public,False,youtube
0YbyXiMbGUw,https://youtu.be/0YbyXiMbGUw,public,False,youtube
7_FPOHx3Z4g,https://youtu.be/7_FPOHx3Z4g,public,True,youtube
ZKilos0TpCU,https://youtu.be/ZKilos0TpCU,public,True,youtube
YN5F8Ne1dY4,https://youtu.be/YN5F8Ne1dY4,public,True,youtube
bhgwfZPJA7U,https://youtu.be/bhgwfZPJA7U,public,False,youtube
islcacjS2eg,https://youtu.be/islcacjS2eg,public,True,youtube
DfhSgCVQ7rs,https://youtu.be/DfhSgCVQ7rs,public,False,youtube
rHJtvVMwuqU,https://youtu.be/rHJtvVMwuqU,public,False,youtube
SFgdMhiV0uE,https://youtu.be/SFgdMhiV0uE,public,True,youtube
