title,renamed_title,url,duration_seconds,occurence_intervals,randomly_sampled_intervals,relevant
Tom Mustill - Humpback Whales - A Detective Story ( trailer ),video_0000.mp4,https://youtu.be/8j1HWD8KuMM,82,"[('0:00', '0:04'), ('0:30', '0:37'), ('1:11', '1:14')]",,TRUE
Suckling Humpback whale,video_0001.mp4,https://youtu.be/tW_T8Z6ebmg,141,"[('0:30', '0:40')]",,TRUE
Humpback Whales Lunge Feed Among Pod of Dolphins on San Diego Coast,video_0002.mp4,https://youtu.be/oSGhnD5kmAg,104,"[('0:00', '0:10'), ('0:42', '0:46')]",,TRUE
Humpback whales 2017 - Best of by Moorea Ocean Adventures,video_0003.mp4,https://youtu.be/6eWwFNq4i_c,224,"[('0:05', '0:20'), ('0:28', '0:33')]",,TRUE
Amazing! Humpback Whales Lunge Feeding up close! Monterey Bay 9/16/15,video_0004.mp4,https://youtu.be/RMaMmynj76s,75,"[('0:00', '0:15'), ('0:35', '0:40')]",,TRUE
Pod of Humpback Whales Spotted Traveling North Off Hawaii Coast,video_0005.mp4,https://youtu.be/WxrJtmYoHzM,121,"[('0:00', '0:15')]",,TRUE
Shocked Kiteboarder Hits Humpback Whale,video_0006.mp4,https://youtu.be/ym6e3SAuyXg,39,"[('0:20', '0:25')]",,TRUE
Humpback Whales in the Ha'apai islands of Tonga,video_0007.mp4,https://youtu.be/H5xilsOjd2o,167,"[('0:33', '0:37'), ('0:42', '0:52')]",,TRUE
Humpback Whales & Dolphins,video_0008.mp4,https://youtu.be/xE3g5UFS7aI,90,"[('0:00', '0:15')]",,TRUE
Humpback whales breach near BC kayakers,video_0009.mp4,https://youtu.be/8eF3T9nm9KU,139,"[('0:00', '0:07'), ('0:11', '0:20')]",,TRUE
Incredible Moment Humpback Whale High Fives Diver,video_0010.mp4,https://youtu.be/eTlajj5qDoY,88,"[('0:00', '0:10'), ('0:30', '0:35')]",,TRUE
7.30.19 Lunge feeding Humpback Whales,video_0011.mp4,https://youtu.be/Hxj-iHHAa24,111,"[('0:10', '0:20'), ('1:12', '1:15')]",,TRUE
"Baby Orca ""Taken"" By Humpback Whales",video_0012.mp4,https://youtu.be/H3qAaxdjATE,53,"[('0:10', '0:23')]",,TRUE
Humpback Whale Birth,video_0013.mp4,https://youtu.be/4qx_In8Ny2s,130,"[('0:05', '0:20')]",,TRUE
Dolphins Ride on Humpback Whales in Monterey Bay,video_0014.mp4,https://youtu.be/Dz817OfdCWY,97,"[('0:15', '0:20'), ('0:42', '0:52'), ('1:05', '1:15')]",,TRUE
Maui Humpback Whales Breaching,video_0015.mp4,https://youtu.be/bAQ3L_A3TxM,123,"[('0:00', '0:03'), ('1:55', '2:00')]",,TRUE
Incredible Drone And Underwater Footage Of Humpback Whales,video_0016.mp4,https://youtu.be/yCqxJfuthls,118,"[('0:02', '0:17')]",,TRUE
Fisherman Has Close Encounter With Humpback Whales,video_0017.mp4,https://youtu.be/PYtbutOrVXk,39,"[('0:01', '0:07')]",,TRUE
Humpback Whales Jumping (Amazing Drone Footage),video_0018.mp4,https://youtu.be/USlfNF-jgcU,89,"[('0:00', '0:10'), ('0:30', '0:35')]",,TRUE
"My VERY CLOSE encounter with ""Gloria"" the humpback whale",video_0019.mp4,https://youtu.be/MW0BM9hIGFU,405,"[('1:04', '1:20'), ('4:36', '4:40')]",,TRUE
"The Feast, Orcas and Humpback whales hunting herring in Norway",video_0020.mp4,https://youtu.be/0EuMbD4zecQ,137,"[('0:25', '0:35'), ('1:28', '1:34')]",,TRUE
Baby Humpback Whale Rescue,video_0021.mp4,https://youtu.be/z532StqPiB4,562,"[('1:35', '1:37')]",,TRUE
"Drone Footage of Humpback Whales Feeding and Foraging in San Diego, California",video_0022.mp4,https://youtu.be/CFOCC5XpTT0,233,"[('0:00', '0:15')]",,TRUE
"Humpback Whales Pay a Visit,  Whales Charging Boat",video_0023.mp4,https://youtu.be/tIwcaihmF5o,79,"[('0:34', '0:44')]",,TRUE
7.25.19 Lunge Feeding Humpback Whales,video_0024.mp4,https://youtu.be/NIi_ewCqOqI,130,"[('0:00', '0:10'), ('0:55', '1:02')]",,TRUE
Humpback Whales Breach in Marina | Whale Hello,video_0025.mp4,https://youtu.be/pKuR-KEOYm4,50,"[('0:07', '0:12'), ('0:30', '0:35')]",,TRUE
Humpback Whales Lunge Feeding In Monterey Bay!,video_0026.mp4,https://youtu.be/euYTbsjTJyo,98,"[('0:00', '0:15')]",,TRUE
"Swimming with Humpback Whales off Moorea / Tahiti, French Polynesia",video_0027.mp4,https://youtu.be/NavthP7hxsw,63,"[('0:30', '0:45')]",,TRUE
